rcv	 5395.08		 DATA	 40540	 179
snd	 5395.10		 ACK	 36540	 0
rcv	 5426.41		 DATA	 36540	 1000
snd	 5426.42		 ACK	 37540	 0
snd	 5463.97		 ACK	 37540	 0
snd	 5501.53		 ACK	 37540	 0
rcv	 5514.11		 DATA	 37540	 1000
snd	 5514.12		 ACK	 39540	 0
snd	 5532.92		 ACK	 39540	 0
snd	 5564.22		 ACK	 39540	 0
snd	 5601.30		 ACK	 39540	 0
snd	 5637.94		 ACK	 39540	 0
snd	 5675.53		 ACK	 39540	 0
snd	 5718.58		 ACK	 39540	 0
snd	 5756.11		 ACK	 39540	 0
snd	 5793.67		 ACK	 39540	 0
rcv	 5806.23		 DATA	 39540	 1000
snd	 5806.26		 ACK	 40719	 0
snd	 5831.24		 ACK	 40719	 0
rcv	 5843.85		 FIN	 40719	 0
snd	 5843.86		 ACK	 40720	 0
rcv	 5881.47		 FIN	 40719	 0
snd	 5881.49		 ACK	 40720	 0
rcv	 5925.29		 FIN	 40719	 0
snd	 5925.30		 ACK	 40720	 0
rcv	 5962.85		 FIN	 40719	 0
snd	 5962.86		 ACK	 40720	 0
rcv	 6000.44		 FIN	 40719	 0
snd	 6000.45		 ACK	 40720	 0
rcv	 6042.02		 FIN	 40719	 0
snd	 6042.04		 ACK	 40720	 0
rcv	 6085.84		 FIN	 40719	 0
snd	 6085.85		 ACK	 40720	 0
rcv	 6123.42		 FIN	 40719	 0
snd	 6123.44		 ACK	 40720	 0
rcv	 6160.99		 FIN	 40719	 0
snd	 6161.00		 ACK	 40720	 0
rcv	 6211.08		 FIN	 40719	 0
snd	 6211.09		 ACK	 40720	 0

Original data received:		125179
Original segments received:	126
Dup data segments received:	81
Dup ack segments sent:		81
